idCrime,dataCrime,numeroArtigo,lugarCrime,descricaoCrime,marcaCelular
536,25/12/2018,155,RIBEIRAO PRETO,FURTO (ART. 155) - VEICULO,APPLE
1134,22/08/2020,155,DIADEMA,FURTO (ART. 155) - OUTROS,MOTOROLA
1461,20/01/2021,157,AMERICANA,ROUBO (ART. 157) - TRANSEUNTE,XIAOMI
448,31/01/2019,155,SAO PAULO,FURTO (ART. 155) - OUTROS,XIAOMI
1362,28/02/2021,157,CAMPINAS,A.I.-ROUBO (ART. 157) - VEICULO,XIAOMI
403,30/01/2019,155,SAO PAULO,FURTO (ART. 155) - OUTROS,APPLE
628,09/01/2019,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,SAMSUNG
745,09/01/2019,157,SAO PAULO,ROUBO (ART. 157) - VEICULO,SAMSUNG
1432,28/02/2020,157,TABOAO DA SERRA,ROUBO (ART. 157) - OUTROS,SAMSUNG
715,09/01/2019,157,GUARUJA,ROUBO (ART. 157) - TRANSEUNTE,
368,30/04/2018,157,FRANCO DA ROCHA,ROUBO (ART. 157) - TRANSEUNTE,MOTOROLA
678,30/08/2019,,,ROUBO (ART. 157) - OUTROS,APPLE
767,31/08/2019,157,TABOAO DA SERRA,ROUBO (ART. 157) - OUTROS,MOTOROLA
1169,30/11/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,APPLE
1099,27/08/2020,155,SAO CARLOS,FURTO (ART. 155) - OUTROS,MOTOROLA
930,31/12/2019,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
355,30/04/2018,157,ARACARIGUAMA,ROUBO (ART. 157) - VEICULO,SAMSUNG
398,31/01/2019,155,SAO PAULO,FURTO QUALIFICADO (ART. 155) - INTERIOR DE VEICULO,XIAOMI
167,30/11/2018,,SAO PAULO,FURTO (ART. 155) - OUTROS,
1024,29/08/2020,155,SAO PAULO,FURTO (ART. 155) - OUTROS,APPLE
1303,12/01/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,MOTOROLA
807,31/12/2019,157,BARUERI,ROUBO (ART. 157) - VEICULO,MOTOROLA
284,30/04/2018,157,RIBEIRAO PRETO,,SAMSUNG
1498,27/02/2021,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
158,12/01/2018,155,ITANHAEM,FURTO QUALIFICADO (ART. 155) - RESIDENCIA,
514,01/02/2019,155,SAO MIGUEL ARCANJO,FURTO (ART. 155) - OUTROS,MOTOROLA
1431,03/01/2021,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,MOTOROLA
136,12/01/2018,155,SAO PAULO,FURTO (ART. 155) - TRANSEUNTE,
265,30/04/2018,157,SAO PAULO,,APPLE
154,30/11/2018,155,MONGAGUA,FURTO (ART. 155) - OUTROS,
837,31/12/2019,,,,
977,31/08/2020,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
901,31/12/2019,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,SAMSUNG
804,01/01/2020,157,PRAIA GRANDE,ROUBO (ART. 157) - TRANSEUNTE,ALCATEL
897,01/01/2020,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,MOTOROLA
263,30/04/2018,157,SAO PAULO,,SONY
1063,09/01/2020,155,BIRIGUI,FURTO (ART. 155) - OUTROS,SAMSUNG
1338,12/01/2021,,,,SAMSUNG
236,30/04/2018,,,,
1031,29/08/2020,155,SAO GERTRUDES,FURTO (ART. 155) - OUTROS,MOTOROLA
303,30/04/2018,157,SAO PAULO,,MOTOROLA
91,30/11/2018,155,SAO PAULO,,APPLE
806,31/12/2019,157,BARUERI,ROUBO (ART. 157) - VEICULO,MOTOROLA
1027,09/01/2020,155,SANTOS,FURTO (ART. 155) - OUTROS,APPLE
1396,23/02/2021,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
434,31/01/2019,155,OSASCO,FURTO (ART. 155) - OUTROS,MOTOROLA
414,30/01/2019,155,SANTO ANDRE,FURTO (ART. 155) - OUTROS,APPLE
815,31/12/2019,157,SANTO ANDRE,ROUBO (ART. 157) - OUTROS,SAMSUNG
